"filename", "language", "JavaScript", "JSON", "TypeScript", "PostCSS", "Properties", "JavaScript JSX", "JSON with Comments", "comment", "blank", "total"
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useTeamPlayers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 1, 6, 44
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useTeamProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useUpcomingFixtures.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 1, 6, 46
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\hooks\useUserProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 6, 51
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\lib\colors.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 5, 95
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\lib\fixtureOptions.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\lib\helperFunctions.js", "JavaScript", 535, 0, 0, 0, 0, 0, 0, 37, 115, 687
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\lib\supabaseClient.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\lib\toastConfig.js", "JavaScript", 170, 0, 0, 0, 0, 0, 0, 0, 9, 179
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\lib\xpLevels.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 213, 0, 0, 24, 237
"c:\Users\dryde\Documents\Mobile-Apps\my-expo-app\app\reset-password.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 109, 0, 2, 8, 119
